NAME:,walk_4_1.csv,,
EXPERIMENT TIME:,25-05-22 18:12,,
ACTIVITY TYPE:,Walking,,
COUNT OF ACTUAL STEPS:,90,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
8.894,-0.51,-2.51,5.69
8.926,-0.35,-3.02,7.57
8.958,1.65,-2.51,7.34
8.993,0.9,-2.04,6.71
9.029,1.06,-0.63,6.43
9.06,1.92,-0.27,8.39
9.094,3.3,-0.98,10.47
9.125,1.73,-1.02,12.63
9.157,-2.39,-2.39,13.77
9.19,7.34,-2.63,13.49
9.225,-0.47,-0.24,13.65
9.257,-6.75,-9.18,18.71
9.291,-2.59,-6.16,9.85
9.322,-3.61,2.04,9.96
9.355,-2.75,-0.16,12.43
9.389,-2.75,-4.86,9.69
9.85,-1.26,-5.06,9.02
9.869,-1.88,-1.65,7.49
10.348,-2.35,-0.9,8.16
10.374,-2.59,0.86,7.26
10.41,-2,1.02,7.57
10.423,4.67,-2,12.79
10.442,-1.65,-1.73,12.67
10.475,-5.06,-8.04,19.73
10.506,-4.16,-6.59,10.83
10.54,-5.57,1.8,11.81
10.576,-4,1.69,11.1
10.609,-2.16,-4.35,11.38
10.641,-2.08,-4.71,9.85
10.674,-2.04,-2.28,8.32
10.706,-1.77,-1.29,7.53
10.74,-2.24,-0.04,7.3
10.776,-1.88,0.16,7.96
10.815,-0.86,-0.08,8.12
10.826,-2.04,0.47,7.45
10.859,-3.45,-0.39,8.47
10.903,-3.18,-0.39,10.63
10.931,-1.96,-0.27,11.45
10.971,-1.69,-0.86,11.41
11.001,-2.79,-0.63,10.71
11.034,-3.06,2.35,10.2
11.064,-3.88,-2.55,14.36
11.091,-7.88,0.16,14
11.125,-7.92,0.82,10.12
11.16,-1.77,-8.16,10.32
11.19,-2.67,-3.37,14.24
11.223,-1.96,0.12,14.51
11.256,-3.53,1.02,9.22
11.285,-2.28,-1.18,7.41
11.315,-2.86,-2.9,7.37
11.33,0.24,-3.37,5.88
11.363,0.08,-2.55,7.49
11.395,0.86,-2.67,7.73
11.427,1.65,-2.2,6
11.461,1.41,-1.22,6.71
11.539,1.41,-0.63,8.98
11.567,2.24,-0.9,12.36
11.611,0.24,-1.1,12.24
11.673,5.37,-3.33,12.08
11.715,4.35,0.67,11.85
11.751,-1.33,-2.51,10.2
11.762,-2.71,3.3,6.55
11.789,-2.39,-1.96,11.41
11.824,-2.2,-7.41,12.59
11.856,-2.31,-3.18,9.02
11.889,-1.57,-0.12,7.53
11.922,-1.57,0.27,7.65
11.955,-2.16,-0.24,7.37
11.992,-2.79,0.75,8.43
12.024,-0.71,-0.67,7.26
12.057,-1.96,-0.27,8.12
12.089,-2.71,0.08,9.45
12.121,-3.02,-0.16,10.12
12.156,-1.88,-0.16,11.06
12.177,-1.26,-0.67,11.53
12.205,-2.79,-0.67,11.02
12.241,-2.79,2.59,10.12
12.274,-2.12,-1.02,11.92
12.306,-7.92,-0.67,12.47
12.339,-7.88,-0.71,12.98
12.361,-2.51,-7.96,12.32
12.402,-4.08,-3.53,14.36
12.434,-3.57,1.29,13.89
12.466,-3.73,1.02,9.77
12.5,-3.26,-1.26,7.69
12.532,-2.47,-2.47,8.12
12.565,-1.26,-3.26,6.32
12.597,0.67,-2.79,6.98
12.63,0.12,-1.69,7.41
12.663,1.37,-1.53,5.96
12.695,1.26,-1.02,6.63
12.729,2.16,-0.98,8.94
12.743,2.43,-0.51,10.59
12.769,-0.47,-1.8,12.43
12.803,6.98,-3.37,12.75
12.835,4.04,0.31,13.18
12.869,-1.73,-2.08,10.98
12.902,-5.41,-8.12,20.01
12.937,-0.43,-2.9,12.75
12.969,-3.37,3.73,9.26
13.002,-1.57,-0.16,9.65
13.034,-2.71,-6.71,12.28
13.067,-2.35,-3.8,9.53
13.099,-0.82,-0.78,6.9
13.135,-2,0.75,5.81
13.167,-2.12,0.04,7.02
13.2,-1.69,-1.02,8.9
13.232,-1.69,-0.71,8.67
13.265,-0.94,0.2,8.08
13.301,-2.67,1.53,8.36
13.378,-3.96,0.31,10.47
13.454,-1.77,-1.37,10.9
13.52,-4.31,2.31,10.2
13.584,-2.12,-0.9,12
13.609,-3.8,-1.88,13.53
13.611,-6.39,-5.88,11.85
13.613,-3.14,-2.9,14.95
13.641,-4.63,1.1,13.65
13.69,-3.96,1.14,8.12
13.726,-1.8,-2.63,8.2
13.747,-2.51,-2.47,8.83
13.78,-0.08,-2.79,5.84
13.807,0.39,-2.59,7.06
13.845,0.51,-2.12,7.14
13.878,2.24,-1.92,5.92
13.913,2.55,-1.37,6.86
13.945,2.2,-0.16,9.89
13.977,0.98,0.43,12.24
14.008,-0.67,-0.67,12.04
14.021,7.34,-4.59,11.38
14.051,2.71,0.39,13.38
14.087,-4.82,-3.53,13.93
14.119,-3.26,-9.85,16.87
14.152,-2.55,0.08,12.79
14.185,-0.9,2.2,8.75
14.218,-2.94,-1.92,9.53
14.253,-2.55,-5.22,12.67
14.286,-2.9,-2.86,8.63
14.318,-1.92,-0.71,7.1
14.351,-1.84,-0.31,5.57
14.386,-2.16,-0.39,7.3
14.42,-2.94,-1.14,9.3
14.452,-2.59,-0.27,10.04
14.485,-1.96,0.86,9.85
14.517,-1.96,1.06,8.87
14.55,-1.77,-0.04,9.45
14.586,-1.49,-1.06,10.16
14.604,-2.28,-0.67,11.02
14.65,-3.06,-1.45,11.69
14.672,-3.22,1.96,11.02
14.714,-2.12,-1.1,11.77
14.738,-7.02,0.24,11.57
14.76,-9.92,2.39,12.08
14.794,-1.77,-8.16,11.57
14.829,-5.69,-2.28,12.75
14.862,-2.35,0.04,14.04
14.886,-3.96,0.71,10.71
14.912,-1.92,-2.16,7.69
14.948,-2.55,-2.71,7.92
14.981,-1.41,-2.43,6.86
15.02,0.04,-2,7.06
15.068,0.2,-2.08,7.22
15.095,0.59,-1.96,6.83
15.126,1.45,-1.18,7.81
15.151,1.84,-0.12,9.1
15.233,2,-0.59,11.53
15.253,0.78,-2.28,12
15.361,0.04,-3.61,11.45
15.387,4.82,-0.78,11.34
15.389,-2.16,-1.41,12.36
15.403,-5.92,-8.08,20.01
15.833,-1.29,-2.39,12.75
16.345,-3.06,2.75,8.24
16.834,-2.16,1.88,10.32
16.871,-0.71,0.82,11.77
17.353,-5.49,0.35,12.94
17.831,-0.86,-0.39,8.28
17.875,-1.49,-0.39,6.83
18.343,-2.39,0.39,6.98
18.84,-2.24,-0.31,16.87
18.842,-2.08,-1.22,8.83
18.845,-1.84,0.24,7.22
18.85,-2,1.69,6.83
18.877,0.39,0.49,12.47
18.893,1.14,-3.57,8.59
18.91,-10.79,-6.98,20.01
18.982,-1.53,-2.35,16.75
19.055,-0.27,0,8.55
19.116,-1.69,-7.3,14.98
19.166,-1.06,-2.47,11.57
19.193,-0.59,0.98,6.39
19.205,-1.65,-1.26,9.65
19.237,-1.06,-0.67,8.63
19.269,-1.53,1.49,7.37
19.302,-2.31,0.55,9.3
19.336,-2.98,-0.59,10.75
19.37,-1.77,-1.45,11.14
19.401,-2.98,0.59,11.49
19.435,-2.35,1.69,12.63
19.468,-1.57,0.63,11.18
19.5,-6.67,0.12,9.92
19.524,-10.2,-1.61,14.4
19.54,-1.45,-7.22,13.73
19.573,-7.92,-3.14,17.38
19.608,-0.24,-1.77,13.1
19.637,-5.92,3.73,7.57
19.673,3.02,-4.12,6.35
19.706,-2.86,-3.45,8.71
19.738,-0.98,-2.67,6.98
19.772,0.04,-2.47,6.98
19.805,0.98,-2.43,7.18
19.837,1.96,-2.47,6.59
19.871,2.2,-1.57,7.22
19.904,2.43,0.16,8.9
19.938,2.47,1.02,10.28
19.968,2.04,-1.69,10.08
20.005,2.16,-4.35,9.85
20.034,3.92,-1.53,12.08
20.052,-1.22,-1.37,12.51
20.088,-8.43,-7.53,20.01
20.121,-1.45,-5.65,10.83
20.155,-5.22,5.22,10
20.186,-2.28,2.55,13.14
20.218,-2.59,-5.77,11.02
20.256,-2.24,-4.43,10.08
20.287,-2.31,-1.65,7.49
20.319,-1.45,-0.47,6.35
20.34,-1.29,0.24,7.34
20.373,-1.29,0.04,8.71
20.404,-0.43,-0.2,8.83
20.438,-2.35,0.78,8.2
20.477,-0.31,0.86,7.06
20.506,-2.35,1.53,10.16
20.538,-1.88,-0.71,10.2
20.571,-0.2,-1.73,9.38
20.603,-4.12,1.37,11.81
20.638,-1.26,1.18,11.22
20.671,-2.79,-0.12,10.98
20.704,-6.59,-0.16,12.12
20.737,-5.37,-6.94,14.44
20.769,-4.94,-5.26,13.93
20.84,-2.28,-0.51,12.4
20.869,-4.75,3.61,13.02
20.911,-0.24,-2.28,10.47
20.977,-3.18,-2.55,11.41
21.013,-2.16,-2.67,8.16
21.037,0.67,-1.57,5.77
21.056,1.92,-2.04,4.98
21.084,2.59,-0.75,7.06
21.12,1.1,1.18,10.9
21.153,-1.8,-0.43,12.98
21.184,4.51,-3.61,12.94
21.218,4.28,-1.61,13.69
21.251,-3.8,-5.41,14
21.283,-2.98,-10,17.42
21.317,-5.02,4.35,14.16
21.349,-1.14,2.75,7.02
21.366,-2.63,-4.59,10.28
21.398,-0.59,-6.71,13.57
21.434,-1.53,-2.9,10.08
21.463,-2.31,1.57,6.75
21.498,-1.53,0.51,7.37
21.534,-1.8,-0.86,6.98
21.575,-1.22,-1.33,7.77
21.608,-1.49,-0.16,7.81
21.641,-1.41,0.55,7.88
21.673,-2.08,0.35,8.94
21.7,-2.28,-0.27,10.28
21.74,-0.78,-1.18,10.55
21.766,-2.75,-1.26,11.14
21.805,-2.59,1.69,11.14
21.832,-3.37,-0.2,12.12
21.867,-7.26,0.86,12.55
21.898,-9.57,-1.14,13.69
21.915,-2.55,-6.39,10.63
21.941,-3.92,-3.65,13.1
21.974,-3.57,1.1,12.16
22.007,-3.69,-0.59,11.34
22.039,-2.71,-2.47,9.14
22.075,-2.16,-2.71,7.69
22.107,-0.47,-2.55,6.63
22.139,-0.55,-1.37,7.26
22.173,0.51,-1.37,6.98
22.206,1.61,-1.41,5.41
22.237,2.16,-1.14,6.83
22.272,1.26,-0.24,9.22
22.304,2.04,-0.27,10.71
22.337,-0.71,-1.1,11.65
22.37,3.92,-3.33,11.3
22.402,5.37,-1.73,11.85
22.435,-0.71,-3.14,11.06
22.47,-1.96,-6.98,20.01
22.501,0.16,1.49,9.89
22.534,-1.73,2.28,10
22.568,-2.9,-3.18,12.91
22.599,-2.35,-6.32,12.67
22.672,-0.67,-3.88,11.22
22.695,-2.2,-0.63,7.77
22.743,-1.1,0,7.53
22.807,-1.65,-0.78,8.16
22.874,-2.08,0.12,7.88
22.894,0.16,0.08,7.53
22.908,-1.77,0.59,7.18
22.909,-2.51,0.2,7.14
22.911,-2.75,-1.29,9.85
22.912,-2.12,-1.45,11.26
22.938,-2.98,-0.47,11.45
22.971,-3.61,1.88,11.77
23.003,-1.22,0.04,11.77
23.036,-7.41,-0.63,13.96
23.068,-9.77,2.55,12.16
23.103,-2.51,-7.02,10.55
23.135,-4.55,-4.75,13.1
23.169,-2.59,0,13.65
23.201,-3.88,1.65,10.9
23.233,-1.41,-1.57,7.57
23.265,-3.41,-2.12,8.2
23.301,-1.37,-2.35,6.9
23.333,0.2,-2.9,6.51
23.366,0.35,-2,6.94
23.399,1.8,-2.55,7.14
23.432,2.35,-2.08,6.94
23.465,2.08,-0.75,7.61
23.498,2.08,0.04,11.06
23.532,-2.28,-0.63,13.26
23.564,6.83,-2.9,12.04
23.596,4.82,0.47,9.81
23.629,0.39,-3.14,8.79
23.661,-8.24,-8.36,20.01
23.691,1.77,-2.16,17.06
23.728,-2.39,3.14,7.53
23.758,-2.47,0.2,8.63
23.79,-1.69,-6.47,12.32
23.825,-2.24,-4.04,11.26
23.857,-2.16,0.98,7.14
24.313,-1.92,0.35,7.41
24.342,-2.43,-0.59,7.41
24.813,-1.88,-0.67,9.06
24.842,-0.75,-0.63,8.63
24.844,-1.45,0.78,8.71
24.846,-0.82,1.02,7.92
24.848,-2.94,0.31,9.1
24.853,-1.8,-2.12,10.87
24.859,0.31,-4.47,13.49
24.877,-7.22,-9.45,20.01
24.901,2,1.1,6.75
24.937,-3.41,4.24,8.24
24.967,-2.12,-2.24,12.43
25,-2.39,-6.94,14.28
25.034,-1.73,-4.51,9.73
25.067,-2.2,-1.65,7.85
25.099,-1.26,0,6.98
25.132,-3.14,0.35,8.16
25.165,-1.57,-0.55,8.47
25.197,-0.55,-0.86,8.51
25.231,-0.35,-0.08,8.39
25.252,-1.06,1.33,8.59
25.288,-2.51,1.73,7.88
25.357,-3.96,-0.04,8.75
25.388,-2.28,-3.96,11.22
25.429,-3.84,2.43,10.63
25.502,-0.78,1.53,11.57
25.561,-2.39,-0.86,12.59
25.588,-5.33,2.55,11.89
25.589,-6.59,-6.24,10.79
25.605,-5.22,-7.34,13.06
