NAME:,run_5_2.csv,,
EXPERIMENT TIME:,23/05/2022 21:18,,
ACTIVITY TYPE:,Running,,
COUNT OF ACTUAL STEPS,165,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
15.602,-4.98,-0.92,-1.05
15.602,0.89,-4.98,5.21
15.602,4.63,-14.65,22.16
15.603,16.36,-6.93,19.17
15.603,-7.64,-5.6,18.76
15.603,-2.94,-2.05,11.55
15.604,1.02,-1.28,1.25
15.604,5.29,-1.23,-3.81
15.604,11.78,-3.04,-14.37
15.605,5.24,4.24,-3.37
15.605,-6.37,2.68,13.52
15.605,-5.57,-3.09,11.55
15.606,14.88,-20.4,28.14
15.606,-13.52,1.2,-12.32
15.606,13.16,5.34,-4.91
15.607,0,-16.51,34.31
15.607,-4.63,-3.22,14.42
15.607,-6.14,-10.07,16.41
15.608,-1.1,-4.81,13.68
15.608,-0.97,-2.07,11.35
15.608,-3.78,0.15,7.03
15.609,-6.83,-3.91,4.14
15.609,-7.44,0.41,0.46
15.609,-5.11,1.97,0.51
15.61,-3.48,-1.12,-2.05
15.61,0.03,-6.75,9.1
15.61,11.17,-14.49,23.24
15.611,8.15,-6.57,20.65
15.611,-8.61,-9.66,21.09
15.611,-12.27,-5.55,20.55
15.612,-4.24,-4.35,15.41
15.612,0.61,-1.66,5.34
15.612,1.61,-0.95,-3.27
15.613,4.55,0.95,-7.34
15.613,11.5,-3.94,-15.03
15.613,3.58,4.12,0.13
15.614,-4.52,1.18,15.67
15.614,1.81,-3.55,21.63
15.614,-12.09,-19.89,19.61
15.615,6.44,7,-15.62
15.615,11.78,-7.39,23.08
15.615,-4.19,-11.25,20.32
15.616,-4.12,-4.91,14.09
15.616,-5.73,-9.43,15.34
15.616,-0.84,-3.14,13.5
15.617,-1.94,-1.02,10.84
15.667,-5.47,0.15,7.72
15.667,-8.05,-3.09,2.25
15.668,-6.08,2.07,-0.28
15.668,-4.65,-1.66,0.74
15.672,0.33,-3.04,8.36
15.673,4.63,-12.96,19.68
15.719,10.63,-7.39,19.68
15.739,-2.4,-10.99,25.66
15.771,-0.43,-1.66,8.28
15.804,3.22,-0.49,-1
15.823,5.09,-0.15,-5.8
15.855,8.33,-3.55,-16.46
15.887,6.08,-0.77,-7.29
15.908,-4.29,5.32,10.69
15.94,-3.12,-2.53,18.92
15.976,-0.66,-16.56,26.02
16.008,-0.33,1.71,-13.75
