NAME:,run_2_2.csv,,
EXPERIMENT TIME:,25/05/2022 16:58,,
ACTIVITY TYPE:,Walking,,
COUNT OF ACTUAL STEPS,160,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
11.36,-1.45,3.84,0
11.401,-5.37,-0.16,3.65
11.442,-6.94,-4,13.42
11.483,-3.37,-2.67,15.22
11.524,-1.41,-5.53,13.65
11.565,-1.88,-7.3,17.26
11.606,2.12,-4.98,16.59
11.647,5.18,-1.02,6.71
11.688,3.88,-2.67,0.94
11.729,4.28,-2.9,-1.14
11.77,3.77,-4.79,0.71
11.811,3.65,-5.73,6.32
11.852,4.43,-5.02,12.63
11.893,1.84,-10,14.75
11.934,-2.82,-13.06,20.01
11.975,-2.2,-9.02,15.57
12.016,-1.65,-2.08,5.37
12.057,-2.2,2.12,-0.98
12.098,-2.43,3.02,-2.63
12.139,-2.9,2.31,-0.67
12.18,-4.16,0.47,6.16
12.221,-5.88,-0.16,11.22
12.262,-1.06,0.31,13.69
12.303,1.69,-3.49,17.73
12.344,-3.3,-8.47,20.01
12.386,5.49,-1.45,8.39
12.427,9.53,-0.35,-0.71
12.468,7.37,-2.12,2.24
12.509,6.75,-3.02,-4.59
12.55,4.16,-6.67,0.2
12.591,5.37,-5.1,13.73
12.632,7.69,-8.83,18.87
12.673,2.98,-13.02,20.01
12.714,0.59,-13.34,14.71
12.755,-2.59,-5.37,2.55
12.796,-4.28,-0.16,0.75
12.837,-2.59,4.67,-1.14
12.878,-2.08,7.41,-3.8
12.919,-3.92,3.33,0.63
12.96,-7.18,-3.14,12.4
13.001,-3.49,-1.37,19.85
13.042,4.55,-4.51,20.01
13.083,3.8,-8.87,20.01
13.124,6.51,-6.12,12
13.165,11.38,-0.86,2.9
13.206,9.65,-3.45,0.59
13.247,2.47,-3.02,-4.82
13.288,-0.24,-1.37,-1.84
13.329,-0.12,-0.94,7.02
13.37,3.1,-0.86,11.53
13.411,2.75,-6.28,16.91
13.452,2.12,-11.02,20.01
13.493,0.94,-3.8,17.5
13.534,-0.47,-1.22,9.06
13.575,-1.96,0.16,2.75
13.616,-0.71,2.63,-2.35
13.657,7.06,-2.12,-7.53
13.699,-2.04,1.45,0.9
13.74,-5.02,-1.14,5.22
13.781,-5.26,6.12,20.01
13.822,-0.43,-1.14,20.01
13.863,-4.35,-5.26,20.01
13.904,4.9,0.9,11.57
13.945,8.79,-0.43,2.24
13.986,5.81,-3.45,1.29
14.027,4.24,-1.84,-2.59
14.068,2.16,0.04,-1.65
14.109,4.08,3.69,9.53
14.15,2.67,-0.82,14.83
14.191,-0.75,-7.92,20.01
14.232,-1.84,-10.43,20.01
14.273,-0.39,-4.67,14.44
14.314,2.28,1.45,4.43
14.355,-1.02,1.53,0.04
14.396,-4.2,1.77,-3.73
14.437,-5.26,0.63,-0.86
14.478,-6.24,1.06,9.81
14.519,-5.61,1.53,15.38
14.56,-4.98,-2.75,20.01
14.601,-2.63,-1.45,20.01
14.642,2.31,1.37,12.63
14.683,4.47,2.55,6.59
14.724,3.57,-2.94,-1.14
14.765,3.18,-3.14,-3.61
14.806,5.06,-1.8,-0.47
14.847,4.2,-3.06,5.22
14.888,6.24,-1.02,12.98
14.929,1.73,-9.49,20.01
14.97,-4.47,-12.63,20.01
15.011,-4.16,-6.24,9.85
15.052,-7.37,-1.22,5.22
15.093,-7.73,0.2,-1.69
15.134,-4.9,5.14,-7.26
15.175,-4.35,1.57,-3.45
15.216,-3.8,0.43,5.06
15.257,-3.22,3.65,12.98
15.298,-1.18,2.08,20.01
15.339,-4.51,-2.98,20.01
15.38,-1.49,-1.84,18.75
15.421,0.27,-2.94,4.43
15.462,-0.75,-3.77,-1.49
15.503,3.26,0.35,-8.51
15.544,2.67,0.59,-5.22
15.585,1.84,-2.55,2.98
15.626,3.77,-1.06,13.42
15.667,2.12,-3.73,18.36
15.708,-1.45,-8.39,20.01
15.749,-0.43,-5.88,20.01
