NAME:,run4,,
EXPERIMENT TIME:,24-05-22 16:53,,
Activity,Running,,
COUNT OF ACTUAL STEPS,120,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
13.12,-2.43,3.18,-0.9
13.166,1.41,-1.26,-2.16
13.213,-0.75,-0.94,-2.9
13.259,-2.12,0.9,-2
13.304,-2.71,2,6.67
13.353,-14.79,20.01,-18.91
13.4,-10.79,13.96,4.59
13.447,-12.32,13.89,4.24
13.493,-9.02,10.43,-3.02
13.539,-2.79,4.63,-1.26
13.585,2.12,-2.43,-1.33
13.631,0.47,-2.9,-2.39
13.676,-3.57,1.84,0.86
13.722,-5.77,1.65,-0.55
13.767,-3.3,17.77,2.71
13.814,-20.01,10.47,6.32
13.861,-13.81,15.1,5.88
13.907,-9.96,12.71,5.53
13.952,-6.79,8.47,3.49
13.998,-1.61,2.35,-1.57
14.043,1.69,-0.43,-0.9
14.09,-2.2,-3.37,-1.02
14.135,0.31,-0.2,0.12
14.181,-5.02,1.84,-4.9
14.226,0.2,6.08,20.01
14.273,-20.01,17.69,1.29
14.318,-4.59,10.71,0.31
14.365,-14.12,17.93,2.51
14.411,-7.69,12.55,3.14
14.457,-1.57,4.67,-2.98
14.503,1.57,-1.49,-1.841476059
14.593,-3.26,0.9,0.591476149
15.009,-0.04,-1.88,-1.29
15.055,-2.67,-0.43,0.04
15.1,-3.18,1.65,4.43
15.149,-14.79,20.01,-15.14
15.194,-1.57,12,5.77
15.241,-14.24,15.61,4.98
15.288,-11.69,12.87,1.57
15.333,-6.86,9.1,2.08
15.379,-0.12,2.04,-2.04
15.426,-1.41,-2.12,-2.47
15.47,-1.14,0.35,1.26
15.516,-1.53,1.73,-1.29
15.563,-18.44,-2.04,2.55
15.61,-4.9,20.01,13.89
15.657,-13.1,9.81,-4.12
15.704,-13.45,19.42,5.73
15.75,-9.92,13.1,4.16
15.794,-5.37,5.45,0.16
15.84,-1.49,3.06,-1.26
15.886,0.59,-0.31,-1.18
15.933,-0.86,-1.61,-1.06
15.98,-2.94,-0.24,-1.29
16.026,-0.63,4.08,13.53
16.075,-10.98,20.01,-20.01
16.12,-3.92,13.14,3.84
16.167,-17.02,17.89,3.73
16.212,-8.59,9.73,0.9
16.257,-2.47,4.31,0.16
16.303,-0.04,0.43,-2.51
16.35,-1.73,-2.51,-1.49
16.395,-2.39,-0.2,0.86
16.44,-5.02,2.75,1.65
16.486,-5.02,9.14,10
16.532,-18.36,6.94,4.12
