NAME: ,team10 run2,,
EXPERIMENT TIME: ,Mon May 23 14:21:04 GMT+03:00 2022,,
ACTIVITY TYPE: ,Run,,
COUNT OF ACTUAL STEPS: ,130,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
26.6,2.41,19.01,0.54
26.7,-2.72,-0.23,-2.26
26.8,2.79,11.17,1.3
26.9,-1.42,12.74,-1.8
27,5.01,18.01,0.69
27.1,0.88,3.29,-3.71
27.2,-0.84,2.18,-2.41
27.3,8.64,16.29,9.41
27.4,2.87,19.35,1.95
27.5,-1.8,0.04,-4.21
27.6,-1.03,-0.31,-0.23
27.7,-14.38,19.51,-0.96
27.8,2.45,16.64,-1.99
27.9,3.9,1.49,-1.84
28,0.19,2.72,-1.03
28.1,5.55,19.51,3.52
28.2,-2.37,18.89,-1.03
28.3,0.38,3.21,-5.16
28.4,1.26,-0.11,1.8
28.5,-9.87,18.36,0.69
28.6,-1.84,19.47,-2.29
28.7,2.64,2.87,-0.99
28.8,0.04,1.76,-1.45
28.9,-13.08,16.75,7.53
29,0.23,17.9,1.99
29.1,0.23,7.34,-5.0974228
29.3,4.21,10.06,-8.307423
29.8,4.47,17.1,7.8
29.9,5.35,16.83,-1.3074236
30.1,3.33,3.82,-0.4674238
30.3,-7.46,18.66,1.84
30.4,0.54,4.74,-0.57
30.5,-0.04,0,1.72
30.6,7.57,18.97,4.82
30.7,5.12,16.52,-0.27
30.8,-3.48,-1.72,-3.48
30.9,-1.42,0.46,13.27
31,-6.43,7.69,0.84
31.1,-7.69,17.75,1.57
31.2,1.03,2.37,1.22
31.3,-3.02,0.54,2.6
31.4,5.97,18.36,11.93
31.5,2.79,14,-3.33
31.6,-3.21,-2.94,-3.44
31.7,-2.49,1.87,5.93
31.8,-7.57,6.96,2.68
31.9,-8.53,19.51,4.09
32,-0.54,-3.14,0
32.1,-0.23,0.11,1.11
32.2,7.84,19.51,10.67
32.3,1.42,17.75,-1.45
32.4,-2.79,-2.98,-1.57
32.5,-0.23,1.22,-1.3
32.6,-6.88,4.51,2.18
32.7,-2.33,19.51,1.11
32.8,1.87,2.68,-0.61
32.9,-1.19,1.49,-1.76
33,-1.3,14.23,7.5774267
33.2,0.38,6.08,-1.42
33.3,1.19,-0.34,-5.01
33.4,8.64,15.76,5.01
33.5,4.44,15.68,3.79
33.6,-7.61,16.75,8.45
33.7,-0.8,2.68,-0.15
33.8,-4.44,0.38,4.09
33.9,2.6,15.45,8.76
34,4.02,11.28,-0.84
34.1,-2.6,-2.26,-5.39
34.2,2.37,1.68,2.22
34.3,-3.48,13.31,1.91
34.4,-6.16,15.72,2.41
34.5,-0.92,2.07,-2.18
34.6,-3.56,-0.99,0.88
34.7,4.47,19.51,11.01
34.8,3.37,18.21,1.2274285
35,-0.92,0.57,4.25
35.1,-0.31,-13.46,2.1
35.2,-6.08,16.83,1.34
35.3,-13.31,4.44,-4.9
35.4,1.03,2.29,-1.8474291
35.6,1.42,14.84,-2.4974293
35.8,1.8,0.57,-2.4974295
36.1,0.15,2.83,1.3074298
36.3,9.45,19.51,6.69743
36.5,-0.38,5.28,-3.75
36.6,-1.53,-0.65,-2.9874303
38.1,2.98,3.02,-4.36
38.2,-2.45,-1.49,0
38.3,6.81,19.51,-5.32
38.4,6.96,18.7,-6.65
38.5,3.06,6.43,-4.47
38.6,0.08,0.54,-2.14
38.7,-0.5,19.51,3.14
38.8,1.72,19.51,-6.85
38.9,1.95,3.75,-4.32
39,-1.64,-4.28,-1.53
39.1,3.9,19.51,-9.41
39.2,6.88,17.02,-9.64
39.3,-0.61,10.29,-4.28
39.4,-1.57,0.61,-0.08
39.5,1.42,13.12,5.24
39.6,6.54,17.48,-2.49
39.7,2.14,6.85,-7.34
39.8,0.42,-4.9,-5.09
39.9,4.59,5.39,-4.44
40,0.65,16.03,-6.69
40.1,0.61,10.02,3.29
40.2,-0.19,0,-1.38
40.3,-1.49,5.16,8.18
40.4,4.25,17.63,-0.19
40.5,6.85,5.66,-6.65
40.6,-1.57,-4.44,-3.98
40.7,8.87,9.64,-15.53
40.8,4.47,14,-5.93
40.9,-2.29,8.34,-2.98
41,0.11,2.72,-0.23
41.1,-1.99,2.56,0.19
41.2,7.69,19.51,0
41.3,1.53,14.42,-7.53
41.4,-4.05,-3.56,-1.57
41.5,5.74,5.43,-11.05
41.6,1.76,17.21,-17.94
41.7,-5.47,8.87,-1.03
41.8,-0.54,1.99,-1.15
41.9,-1.19,2.45,3.17
42,4.55,15.26,3.98
42.1,2.64,9.52,-7.84
42.2,-2.49,-2.22,-0.99
42.3,-0.34,-0.11,-2.75
42.4,-10.71,9.91,-7.04
42.5,-5.24,11.82,-8.11
42.6,0.11,4.02,-3.44
42.7,-1.95,0,-2.26
42.8,10.56,19.51,-6.6974365
43,-2.94,1.03,-2.14
43.1,-0.04,1.11,-4.6374368
43.3,-0.92,17.48,-10.79
43.4,-1.49,4.36,-0.31
43.5,0.57,2.41,-0.5474372
43.7,1.61,18.43,-9.71
43.8,-1.8,0.96,-6.96
43.9,1.87,-0.34,-4.17
44,-8.8,19.51,-9.18
44.1,-2.18,18.97,-9.1
44.2,0.84,4.59,-1.8
44.3,1.61,1.15,-2.64
44.4,0.73,13.88,4.17
44.5,3.94,19.51,-10.33
44.6,0.34,1.26,-3.75
44.7,-2.68,-2.87,-4.63
44.8,-13.12,19.51,-11.01
44.9,0.73,18.36,-10.17
45,1.57,2.91,-2.83
45.1,1.07,2.07,-1.49
45.2,5.32,17.94,4.4
45.3,5.24,16.71,-12.62
45.4,-2.52,-3.33,-2.37
45.5,-1.49,1.76,-6.2
45.6,-4.4,2.91,-1.84
45.7,-0.34,17.48,-7.38
45.8,0.34,5.24,-2.79
45.9,-2.03,1.99,0.73
46,8.22,19.24,-0.88
46.1,2.87,14.61,-10.14
46.2,-2.75,-0.31,-1.95
46.3,1.49,1.64,-3.79
46.4,-7.19,7.08,-8.18
46.5,-4.32,19.51,-8.07
46.6,-0.73,4.82,-1.22
46.7,-1.26,2.49,1.07
46.8,6.88,17.29,-1.57
46.9,2.75,14.19,-9.33
47,-1.38,0.61,-4.4074407
47.3,0.31,15.99,-6.047441
