NAME:,run_4_1 .csv,,
EXPERIMENT TIME:,24/05/2022 19:34,,
ACTIVITY TYPE:,Running,,
COUNT OF ACTUAL STEPS,150,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
2245.31,-12.63,-5.06,0.59
2245.35,-20.01,13.53,12.43
2245.39,-20.01,7.77,19.5
2245.43,-8.51,4.59,6.28
2245.47,-7.18,1.57,1.41
2245.52,-0.35,3.14,2.2
2245.56,0.98,-0.71,1.49
2245.6,15.26,-0.27,-7.85
2245.64,-4.04,-6.47,-1.02
2245.68,18.04,3.77,-9.06
2245.73,-20.01,16.79,20.01
2245.77,-12.24,2.82,5.77
2245.81,-20.01,5.26,8
2245.85,-20.01,0.24,5.96
2245.89,-13.89,4.82,-4.47
2245.94,-2.98,-2.86,-5.26
2245.98,-2.43,-3.3,-7.45
2246.02,-2.39,-1.41,-3.77
2246.06,-9.02,-4.94,-6.51
2246.1,-15.57,0.04,5.57
2246.15,-20.01,20.01,20.01
2246.19,-13.93,0.16,7.45
2246.23,-5.84,4.04,1.8
2246.27,-4.47,1.73,1.57
2246.31,0.2,-0.35,2.71
2246.36,4.47,-5.22,-5.69
2246.4,10.98,-5.06,-4.24
2246.44,3.57,2.28,-10.67
2246.48,-16.04,6.28,20.01
2246.52,-8.71,3.02,4.51
2246.57,-16.12,4.16,5.26
2246.61,-20.01,0.16,9.06
2246.65,-18.36,8.43,-1.22
2246.69,-6.59,-5.81,-3.3
2246.73,-3.33,7.02,-10.67
2246.78,-5.1,0.43,-4.31
2246.82,-12.71,-4.35,-4.79
2246.86,-18.08,5.61,4.51
2246.9,-20.01,20.01,20.01
2246.94,-14,-1.84,11.61
2246.99,-6.83,3.14,1.84
2247.03,-5.49,1.18,0.59
2247.07,0.71,2.16,1.41
2247.11,7.85,-4.39,-4.9
2247.15,9.38,-8.24,1.77
2247.2,0.86,1.06,-5.14
2247.24,-1.45,-10.36,10
2247.28,-19.61,14.87,10.71
2247.32,-20.01,-1.06,8
2247.36,-20.01,1.69,7.41
2247.41,-12.24,3.77,1.84
2247.45,-8.67,-1.92,-1.1
2247.49,-3.73,-1.61,-8.28
2247.53,-3.84,-3.8,-3.37
2247.57,-3.3,-2.39,-7.57
2247.62,-10.71,-0.75,0.24
