NAME:,run2,,
EXPERIMENT TIME:,24-05-22 16:40,,
Activity,Running,,
COUNT OF ACTUAL STEPS,125,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
22.11,-3.69,0.75,0.55
22.155,0.71,-0.98,-1.1
22.202,-20.01,-1.77,16.04
22.249,-20.01,20.01,12.67
22.295,-14.47,10.63,3.92
22.341,-12.94,16.08,7.81
22.384,-7.73,5.69,1.57
22.429,-1.57,4.79,-0.86
22.474,1.96,-2.04,-2.08
22.52,-1.22,-0.9,-0.94
22.564,-2,-0.67,0.43
22.607,0.12,3.26,6.24
22.655,-16.95,18.55,-12.91
22.701,-14,16.4,7.41
22.747,-15.42,16.32,6.2
22.792,-8.75,10.08,3.1
22.836,-1.84,5.26,-1.18
22.881,0.82,-2.98,-3.88
22.926,-0.2,1.77,-0.47
22.97,-3.8,0.86,0.43
23.015,-1.41,-0.27,-2.79
23.061,-16.95,3.69,17.85
23.108,-20.01,17.61,11.85
23.154,-14.79,10.51,5.22
23.2,-11.1,13.14,7.1
23.244,-5.3,6.43,1.45
23.287,0.51,0.9,-2.39
23.333,-0.51,-1.33,-2.55
23.378,-1.73,1.41,-1.37
23.422,0.04,-1.88,2.71
23.467,-3.3,2.67,11.73
23.513,-20.01,14.32,10.94
23.558,-6.08,12.47,8.28
23.604,-16.16,15.65,6.35
23.648,-9.49,9.73,1.49
23.693,-2.63,3.45,-0.9
23.737,2.04,-3.49,-4.35
23.781,0.67,2.16,-1.22
23.825,-3.49,0.16,1.22
23.87,1.53,-0.51,-2.24
23.917,-20.01,-7.77,17.81
23.963,-10.94,20.01,12.67
24.008,-14.24,4.55,1.33
24.054,-14.95,17.53,5.02
24.099,-8.98,11.26,2.04
24.144,-4.43,3.26,-0.47
24.187,2,1.57,-2.04
24.233,-1.02,-0.39,-1.8
24.279,-1.1,-0.86,-0.08
24.323,-0.43,0.31,2.12
24.369,-13.53,5.69,20.01
24.415,-15.61,13.53,14.71
24.46,-6.2,10,8.28
24.506,-16.08,15.06,2.63
24.551,-6.83,10.59,3.22
24.596,-0.27,3.26,-1.29712609
24.775,-17.81,-4.47,4.2071279
25.092,2.28,-1.37,-1.73
25.136,-2.47,1.45,-2.31
25.18,0.24,-0.71,0.94
25.225,-0.16,-0.04,5.92
25.271,-17.22,14.75,3.77
25.318,-10.51,12.36,12.47
25.363,-10.87,13.53,6.04
25.409,-12.32,14.32,2.98
25.453,-5.57,8.87,0.94
25.499,-0.08,-0.59,-1.92
25.544,0.39,-3.88,-3.33
25.587,-1.45,2.51,1.37
25.632,-0.94,0.47,-0.63
25.677,-4.28,1.14,-0.16
25.721,6.28,16.63,2.39
25.767,-19.81,10.47,4.55
25.811,-14.24,9.77,6.63
25.857,-11.22,14.4,6.59
25.901,-7.77,9.77,1.53
25.946,-2.47,3.26,-0.47
25.99,2.71,-1.73,-1.45
26.036,-1.49,-3.14,-0.27
26.081,-0.39,2.59,-1.88
26.126,-1.06,-0.59,1.1
26.17,0.82,3.69,20.01
26.217,-20.01,20.01,-0.35
26.26,-2.98,9.57,3.45
26.306,-16.75,18.63,4.67
26.35,-6.28,8.63,1.84
26.395,-2.82,4.31,-1.65
26.439,0.08,-1.65,-4
26.483,-0.47,0,1.73
26.528,-3.1,1.49,-0.82
26.573,-1.53,1.29,-1.49
26.619,-0.63,13.3,11.22
26.665,-20.01,13.69,20.01
26.711,-15.06,11.73,5.06
26.757,-10.47,14.79,5.57
26.802,-6.94,10.28,2.55
26.847,-4.24,4.12,-1.69
26.892,1.49,-1.53,-2.47
26.937,-1.57,-2.31,-1.22
26.98,0,0.55,0.86
27.025,-1.77,-0.08,1.14
27.071,-16.16,5.26,20.01
27.118,-13.89,12.32,13.93
27.163,-11.85,13.14,7.37
27.209,-15.42,13.34,3.22
27.254,-7.06,10.4,2.86
27.299,-2.2,3.8,-0.9
27.344,-0.82,0.43,-3.02
27.389,-0.39,-1.33,-1.73
27.433,-1.37,0.59,0.82
27.478,-2.47,1.53,-0.63
27.524,-19.5,3.96,17.81
27.571,-17.22,12,14.2
27.617,-14.91,10.08,4.12
27.662,-13.65,15.89,5.84
27.707,-9.96,11.65,2.39
27.752,-3.1,4.08,-0.31
27.796,0.39,0,-1.06
27.842,-1.02,-1.65,-2.35
27.886,-1.29,1.33,-1.1
27.931,-0.51,-0.43,0.27
27.976,-0.31,3.69,11.49
28.024,-19.02,20.01,-18.99
28.069,-4.51,11.41,6.59
28.114,-15.73,14.16,5.96
28.16,-11.65,11.45,2.04
28.205,-5.73,10.79,2.55
28.25,0.39,-0.67,-2.31
28.295,0.47,-3.06,-3.33
28.338,-0.67,0.9,1.61
28.383,-2.43,1.33,-0.08
28.428,-3.88,0.55,-0.9
28.472,2.98,19.46,3.69
28.518,-20.01,10.28,5.69
28.563,-14.63,14.95,3.37
28.609,-11.89,13.45,7.1
28.653,-8.47,8,2.16
28.698,-2.67,4.31,-1.45
28.742,0.08,0.04,-1.96
28.787,-1.65,-0.67,-1.96
28.831,0,-0.67,0.63
28.874,0.75,1.49,4.28
28.92,-20.01,8.39,10.12
28.965,-13.02,9.02,12.2
29.011,-11.96,15.22,7.49
29.057,-18.01,15.14,4.59
29.102,-7.22,11.65,3.88
29.146,-0.98,3.92,0.55
29.19,0.2,-3.02,-3.14
29.235,0.98,-0.24,-0.59
29.279,-3.8,3.26,0.16
29.324,-0.27,1.8,-1.41
29.371,-20.01,-5.84,16.12
29.418,-16.63,17.85,20.01
29.462,-16.16,8.9,2.67
29.508,-13.57,17.02,8.94
29.554,-10.75,14.12,2.94
29.599,-6.63,2.63,-1.61
29.644,1.8,-2.28,-3.26
29.687,0.71,-3.33,0.12
29.732,-2.94,0.24,-1.22
29.776,-2.12,1.37,0.82
29.819,1.06,2.94,8.55
29.865,-20.01,20.01,-0.24
29.91,-7.77,11.89,4.43
29.956,-14.32,16.08,6.83
30.002,-13.38,13.85,2.67
30.046,-4.04,9.02,2
30.089,1.96,0.35,-3.45718104
30.402,-16.24,13.69,5.77718417
30.581,1.06,-3.14,-0.86
30.627,-2.67,-1.26,-2.16
30.67,0.39,0.63,1.37
30.713,-0.75,0.51,2.51
30.759,-19.81,6.32,19.77
30.806,-11.89,11.69,12.16
30.852,-12.71,14.75,8.43
30.898,-14.04,13.34,3.18
30.943,-4.28,10.98,3.84
30.986,2.86,2.08,-0.08
31.031,0.9,-4.43,-3.1
31.076,1.88,-0.63,-0.04
31.12,-5.02,2.16,0.31
31.164,1.96,-0.55,-1.37
31.211,-20.01,-8.08,17.38
31.257,-6.16,20.01,16.67
31.303,-12.63,9.89,-0.55
31.349,-12.43,15.14,6.28
31.395,-11.3,10.08,3.14
31.439,-4.63,1.33,-1.22
31.484,3.26,-0.86,-1.65
31.53,-2.47,-0.35,-2.16
31.573,1.61,1.26,1.57
31.619,-3.73,-1.1,-2.47
31.662,0.86,3.65,16.79
31.709,-20.01,19.77,-5.53
31.754,-5.96,11.02,9.38
31.8,-16.55,15.81,2.98
31.845,-9.49,12.75,3.8
31.888,-3.14,6.51,1.1
31.933,0.35,-0.12,-1.96
31.978,0.04,-3.73,-4.12
32.022,-0.43,0.35,1.37
32.067,-3.84,2,-0.78
32.112,-9.14,-0.43,-0.2
32.156,0.31,13.77,6.67
32.203,-20.01,14.63,17.38
32.248,-16.59,9.41,4.86
32.294,-12.2,15.3,7.57
32.337,-9.73,9.57,2.16
32.382,-4.63,2.55,-0.94
32.427,1.8,-1.02,-1.61
32.472,0.12,-1.69,-2.04
32.515,-0.2,0.55,1.88
32.56,-2.82,0.35,-1.92
32.605,-1.65,4.9,20.01
32.651,-20.01,17.73,4.39
32.696,-8.67,10.12,7.06
32.742,-15.69,14.36,4.94
32.787,-11.89,11.65,2.39
32.831,-3.53,5.92,0.67
32.875,0.55,0.12,-2.31
32.92,0.47,-1.61,-2.86
32.963,-2.28,0.94,0.2
33.009,-2.39,-0.98,-0.51
33.054,-2.82,4,-2.51
33.099,-3.33,14.16,2.12
33.146,-20.01,20.01,20.01
33.19,-16.99,8.12,4.82
33.236,-12,16.95,9.06
33.28,-7.37,5.22,0.9
33.325,-2.9,3.33,-1.53
33.371,-0.35,-0.78,-3.45
33.417,-1.06,-1.33,-1.69
33.46,-0.24,0.39,0.35
33.506,-2.55,-0.35,-0.39
33.553,-12.91,10.79,20.01
33.599,-20.01,15.81,2.39
33.644,-1.61,11.38,7.49
33.689,-17.53,16.28,3.1
33.734,-8.32,12.4,2.79
33.778,-2.63,6.04,1.41
33.823,0.86,-1.06,-2.71
33.868,0.55,-3.02,-3.96
33.911,-2.39,1.22,2.12
33.956,-0.16,1.41,-0.75
34.003,-20.01,-4.94,10.71
34.049,-3.53,20.01,18.16
34.095,-14.47,6.98,-1.65
34.14,-14.95,16.99,6.16
34.185,-7.92,11.49,5.14
34.23,-6.04,4.94,-0.47
34.275,-0.04,0.2,-2.59
34.32,3.02,-1.69,-2.04
34.364,-1.73,0.24,-1.26
34.408,-0.55,0.47,0.43
34.453,-2.86,-0.63,1.37
34.499,-20.01,8.75,20.01
34.545,-20.01,7.3,19.38
34.589,-9.53,13.49,8.12
34.635,-15.85,15.77,4.79
34.68,-8.63,12.71,3.02
34.725,-3.69,4.31,-0.04
34.77,0.71,-0.75,-3.02
34.814,0.31,-2.75,-3.49
34.858,-1.49,0.98,0.75
34.903,-2.79,0.63,-0.24
34.949,-15.69,-2.28,3.02
34.995,-4.9,20.01,14.2
35.04,-13.61,9.77,-2
35.086,-14.63,17.57,6.32
35.132,-10.16,13.77,5.61
35.176,-6,4.2,0.12
35.221,-0.12,1.53,-1.73
35.265,1.65,-1.84,-1.92
35.311,-1.77,-0.67,-2.55
35.355,-0.9,0.08,0.47
35.401,-3.14,-0.27,-3.88
35.446,-8.9,6.9,20.01
35.492,-20.01,11.45,8.9
35.536,-0.82,11.65,7.1
35.582,-18.48,16.71,4.43
35.627,-6.51,11.81,3.30723641
35.899,-20.01,-4.43,12.32723914
36.082,-9.65,12.4,6
36.127,-4.28,2.79,-0.59
36.172,1.37,-0.51,-2.63
36.217,1.37,-0.86,-1.92
