NAME:,run_4_1.csv,,
EXPERIMENT TIME:,25-05-22 18:21,,
ACTIVITY TYPE:,Running,,
COUNT OF ACTUAL STEPS:,164,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
10.607,-0.04,-2.31,4.39
10.609,-0.12,4.51,-0.67
10.634,1.26,0.04,-2.2
10.667,2.43,-3.92,-0.71
10.703,-4.28,0.71,5.37
10.735,-2.94,-6.24,7.02
10.768,-14.63,11.61,20.01
10.793,0.75,2.24,-2.24
10.832,8.67,-12.94,19.97
10.859,1.02,-4.71,18.99
10.883,-1.61,3.53,17.26
10.928,0.39,8.51,9.92
10.958,-2.04,-0.39,5.61
10.973,0.55,-2.47,2.79
11.007,-1.41,-0.04,-1.14
11.038,-2.04,-1.45,1.22
11.074,-2.55,-0.86,1.45
11.107,-3.96,-9.22,13.14
11.14,-2.86,-6.43,20.01
11.177,1.65,3.14,18.01
11.204,0.86,-2.24,16.24
11.237,3.49,-4.31,19.14
11.273,0.59,-3.45,7.73
11.307,1.49,2.55,2.04
11.322,0.12,1.49,-1.1
11.367,2.59,-4.08,-3.26
11.398,-2.94,0.24,-0.43
11.435,1.37,-0.47,8.55
11.467,-20.01,-12.87,20.01
11.5,6.47,3.88,-3.49
11.531,6.32,-6.55,14.98
11.564,-4.51,-8.16,13.77
11.596,0.16,0.24,20.01
11.624,-1.57,6.51,11.06
11.649,0.86,1.26,4.98
11.681,0,-2.86,3.06
11.714,-4.86,-0.35,2.82
11.747,-0.16,-1.22,-0.59
11.779,-2,-1.92,1.06
11.815,-15.38,-3.41,9.18
11.848,7.41,-7.18,20.01
11.879,-6.94,-3.41,20.01
11.914,4.35,-2.79,18.01
11.945,-1.53,0.55,18.59
11.978,2.35,-8.47,13.02
12.014,0.12,0.08,4.39
12.047,-2.12,5.33,-1.49
12.079,2.35,-2.86,-3.65
12.11,-1.37,-1.8,0.2
12.135,-2.12,-1.57,8.47
12.215,-4.16,-9.34,11.69
12.283,-4.24,-3.33,10.63
12.303,1.14,-9.69,16.4
12.349,1.41,-0.08,20.01
12.368,-1.1,6.98,10.9
12.413,-1.61,3.57,6.08
12.439,-3.57,-3.73,4.98
12.905,-3.84,1.22,2.55
13.393,-16.95,-1.92,7.45
13.418,-6.63,-5.1,20.01
13.42,3.96,-1.14,16.59
13.421,-2.2,3.22,17.34
13.427,-0.04,-2.63,7.1
13.433,20.01,4.12,3.57
13.443,0.98,2.24,-1.88
13.477,0.59,-2.59,-3.92
13.509,1.37,-2.75,-2.08
13.542,-2.47,1.29,9.18
13.587,-2.24,-5.57,6.35
13.615,10.79,-0.75,20.01
13.631,-0.31,7.1,-5.84
13.664,9.92,-12.55,17.93
13.697,7.45,-9.65,18.36
13.73,-5.57,7.53,14.98
13.761,-0.51,6.2,7.22
13.798,-0.94,-1.69,3.18
13.831,1.92,-1.73,3.73
13.864,-6.59,2.31,1.77
13.901,0.67,-1.96,-0.59
13.928,-1.88,-0.63,1.06
13.95,-0.55,-10.08,11.3
13.987,0.98,-9.57,20.01
14.021,-4.28,2.04,20.01
14.093,0.78,-1.92,16.28
14.117,1.37,-2.04,14.83
14.159,2.2,-3.65,7.34
14.18,-0.63,1.88,-0.98
14.227,0.04,-2.63,-2.51
14.245,0.27,-1.77,-0.82
14.292,-6.75,-1.18,7.26
14.313,-0.24,-7.18,11.89
14.329,1.33,5.57,-6.12
14.366,12.51,-10.32,19.73
14.397,9.18,-9.92,20.01
14.431,-7.41,4.39,16
14.463,-0.04,4.31,9.18
14.496,-2.12,-1.45,4.16
14.528,-0.08,-2.24,2.31
14.564,-4.63,-0.08,4.04
14.597,0.35,0.63,-1.02
14.631,-2.31,-0.9,-0.78
14.662,-15.69,1.45,11.26
14.695,12.2,-12.43,20.01
14.727,-5.22,-2.82,19.97
14.764,3.18,-3.69,19.1
14.796,-3.45,1.84,18.12
14.831,3.84,-6.28,12.71
14.869,-1.06,-0.39,3.61
14.895,-2.16,5.37,-2.28
14.917,4,-3.92,-3.73
14.953,-4.98,-0.27,4.39
14.985,-0.39,-3.37,7.65
15.017,-16.24,-15.02,12.43
15.05,-8.32,12.43,14.12
15.083,-0.04,-0.08,11.57
15.12,0.24,-11.38,14.04
15.146,-2,-7.73,17.77
15.162,-3.65,6.24,16.51
15.194,-1.37,-0.08,5.22
15.237,1.45,-1.41,1.96
15.269,0.43,-0.55,0.75
15.302,-4,0.55,1.14
15.338,-3.41,0.2,1.49
15.371,-3.41,-2.28,0.35
15.401,-4.55,-5.06,14.47
15.434,-2.82,-10.24,20.01
15.491,-0.78,-1.53,20.01
15.527,1.41,-1.8,15.69
15.557,0.98,-3.41,7.53
15.591,-1.41,3.41,0.82
15.623,-1.37,-0.63,-3.92
15.655,-0.12,-2.47,-2.43
15.688,-2.71,0.9,7.96
15.724,0.39,-2.55,6.63
15.761,8.59,-4.2,19.5
15.789,-7.14,9.53,-0.94
15.821,16.32,-7.18,19.65
15.854,-1.49,-8.32,14.16
15.885,-3.06,-0.27,17.26
15.962,-3.57,4.39,7.18
15.987,-0.31,0.43,2.16
