NAME:,run_3_1.csv,,
EXPERIMENT TIME:,25-05-22 15:22,,
ACTIVITY TYPE:,Running,,
COUNT OF ACTUAL STEPS:,80,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
9.179,3.26,10.94,-9.96
9.238,1.92,20.01,-18.12
9.239,2.55,19.81,-7.14
9.299,0.31,17.5,-4.28
9.301,0.98,9.38,-0.78
9.359,4.71,2.2,-2.16
9.417,0.2,-2.2,0.86
9.419,0.51,-2.63,-1.57
9.477,0.41,0.12,-0.82
9.479,0.47,0.08,-2.82
9.538,0.08,13.45,-2.2
9.54,8.12,15.73,-9.22
9.599,0.2,17.85,1.41
9.601,0.45,18.48,-5.14
9.665,0.61,19.34,-9.3
9.667,0.96,10.63,-6.12
9.727,0.49,16.48,-14.59
9.729,0.78,9.49,-2.39
9.788,0,0.9,-7.18
9.79,1.69,-1.57,-2.55
9.849,2.75,-2.31,-2.79
9.851,1.53,-3.14,-0.55
9.912,0.65,1.88,-6.51
9.972,0.04,12.59,-12.47
9.974,0.96,20.01,-20.01
9.976,0.39,20.01,-11.53
10.035,0.06,17.3,-5.33
10.037,0.39,13.22,-3.33
10.097,2.79,8.24,0.82
10.099,5.1,1.49,-2.24
10.159,0.16,-3.73,-0.16
10.219,0.49,-2.2,-1.8
10.22,2.94,3.61,-1.65
10.279,0.77,-1.02,-7.53
10.281,0.35,16,-1.29
10.283,1.84,14.44,-11.38
10.343,9.02,20.01,1.41
10.404,0.77,16.71,-4.31
10.406,0.82,16.59,-11.06
10.467,2.75,14.79,-9.57
10.527,0.06,14.24,-6.08
10.589,0.47,-3.3,-2.79
10.591,2.9,-2.63,1.92
10.652,0.51,-2.08,-2.9
10.653,0.45,4.79,-7.61
10.714,0.51,20.01,-16.48
10.716,0.73,19.22,-18.16
10.778,2.51,20.01,-11.02
10.839,1.92,17.3,-6.47
10.84,1.06,12.91,-0.75
10.842,5.22,5.49,-2.24
10.906,1.77,-2.55,0.9
10.909,0.26,-3.06,0.51
10.971,0.55,-1.14,-1.69
10.972,2.12,2.67,-2.9
11.034,0.08,0.04,-14.32
11.036,8.79,18.71,-8
11.098,61,11.65,1.37
11.1,2.47,20.01,-9.61
11.162,0.14,16.36,-2.2
11.223,0.43,14.4,-8.9
11.225,3.3,18.16,-12.12
11.287,61,11.14,-6.24
11.288,0.06,3.37,-7.34
11.29,0.08,-2.28,-4.79
11.352,1.65,-1.96,-3.22
11.353,2.51,-3.14,1.18
11.414,0.82,-1.57,-2.43
11.416,0.45,1.18,-8.47
11.478,0.45,18.91,-16.28
11.48,19.1,20.01,-1.65
11.543,0.2,20.01,-11.06
11.606,0.82,15.3,-6.35
11.608,2.94,10.4,-1.45
11.61,6,3.49,-0.9
11.673,2.08,-2.39,-1.61
11.675,0.84,-2.04,-0.71
11.738,0.84,0.12,-4
11.74,0.2,2.9,-3.37
11.802,0.45,-2.94,-6.08
11.804,0.22,17.93,0.31
11.867,0.79,13.14,-7.14
11.869,-11.02,20.01,-3.02
11.932,0.31,16.59,-3.65
11.934,1.69,15.69,-10.28
11.997,2.71,16.24,-10.71
11.999,0.67,11.57,-7.96
12.062,88,7.77,-5.65
