"16415.0","65096","66604"
"16455.0","64613","65518"
"16495.0","64425","65128"
"16535.0","64438","65180"
"16575.0","64536","65401"
"16615.0","64627","65615"
"16655.0","64730","65863"
"16697.0","64701","65793"
"16737.0","64637","65674"
"16777.0","64646","65695"
"16817.0","64724","65864"
"16857.0","64832","66089"
"16897.0","64922","66291"
"16937.0","64998","66456"
"16977.0","65063","66581"
"17017.0","65115","66704"
"17057.0","65179","66824"
"17097.0","64955","66362"
"17139.0","64508","65340"
"17179.0","64323","64961"
"17219.0","64308","64970"
"17259.0","64362","65090"
"17299.0","64421","65235"
"17339.0","64528","65475"
"17379.0","64547","65518"
"17419.0","64511","65449"
"17459.0","64519","65455"
"17539.0","64686","65818"
"17580.0","64777","66022"
"17620.0","64862","66211"
"17660.0","64944","66389"
"17700.0","64996","66502"
"17740.0","65054","66605"
"17782.0","65096","66716"
"17822.0","64860","66201"
"17862.0","64424","65226"
"17902.0","64233","64821"
"17942.0","64212","64807"
"17982.0","64246","64921"
"18022.0","64286","65015"
"18062.0","64377","65222"
"18102.0","64402","65282"
"18224.0","64436","65390"
"18264.0","64536","65608"
"18304.0","64645","65822"
"18344.0","64738","65999"
"18384.0","64807","66162"
"18424.0","64858","66280"
"18464.0","64910","66396"
"18504.0","64974","66523"
"18544.0","64871","66304"
"18584.0","64410","65262"
"18626.0","64177","64769"
"18666.0","64118","64688"
"18706.0","64181","64832"
"18746.0","64244","64984"
"18786.0","64354","65214"
"18826.0","64385","65281"
"18866.0","64359","65240"
"18906.0","64367","65254"
"18946.0","64421","65366"
"18986.0","64513","65558"
"19026.0","64607","65778"
"19068.0","64704","65957"
"19108.0","64790","66139"
"19148.0","64853","66269"
"19188.0","64903","66359"
"19228.0","64953","66473"
"19268.0","65017","66583"
"19308.0","64852","66254"
"19348.0","64399","65230"
"19388.0","64193","64822"
"19428.0","64196","64839"
"19510.0","64359","65231"
"19550.0","64464","65449"
"19590.0","64442","65413"
"19630.0","64387","65281"
"19670.0","64393","65314"
"19710.0","64471","65494"
"19750.0","64568","65699"
"19790.0","64663","65884"
"19830.0","64732","66043"
"19870.0","64796","66170"
"19910.0","64851","66292"
"19952.0","64907","66418"
"19992.0","64904","66414"
"20032.0","64460","65421"
"20112.0","64077","64635"
"20152.0","64140","64776"
"20192.0","64223","64971"
"20232.0","64341","65219"
"20272.0","64388","65333"
"20312.0","64343","65252"
"20354.0","64335","65217"
"20394.0","64383","65346"
"20434.0","64479","65541"
"20474.0","64577","65763"
"20514.0","64676","65954"
"20554.0","64753","66122"
"20594.0","64815","66244"
"20634.0","64862","66361"
"20674.0","64924","66485"
"20754.0","64246","64998"
"20796.0","64037","64558"
"20836.0","63997","64531"
"20876.0","64040","64643"
"20916.0","64081","64746"
"20956.0","64190","64953"
"20996.0","64224","65049"
"21036.0","64212","65020"
"21076.0","64212","65028"
"21116.0","64286","65172"
"21156.0","64383","65386"
"21196.0","64482","65599"
"21238.0","64563","65792"
"21278.0","64645","65941"
"21398.0","64824","66277"
"21438.0","64635","65903"
"21478.0","64192","64935"
"21518.0","63980","64492"
"21558.0","63936","64432"
"21598.0","64003","64577"
"21638.0","64055","64694"
"21680.0","64150","64924"
"21720.0","64181","64982"
"21760.0","64167","64938"
"21800.0","64174","64970"
"21840.0","64257","65120"
"21880.0","64345","65324"
"21920.0","64446","65528"
"21960.0","64516","65692"
"22080.0","64683","66020"
"22122.0","64736","66148"
"22162.0","64628","65885"
"22202.0","64187","64936"
"22242.0","63985","64495"
"22282.0","63918","64416"
"22322.0","63981","64557"
"22362.0","64041","64697"
"22402.0","64148","64912"
"22442.0","64144","64911"
"22482.0","64103","64832"
"22524.0","64136","64879"
"22564.0","64219","65060"
"22684.0","64472","65586"
"22724.0","64533","65716"
"22764.0","64582","65822"
"22804.0","64640","65944"
"22844.0","64668","66003"
"22884.0","64274","65154"
"22924.0","63949","64460"
"22966.0","63803","64196"
"23006.0","63838","64282"
