NAME:,yoniwal1.csv,,
EXPERIMENT TIME:,Tue May 24 16:48:04 GMT+03:00 2022,,
ACTIVITY TYPE:,Walking,,
COUNT OF ACTUAL STEPS:,74,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
732.51,-0.9,11.22,0.55
732.57,1.29,9.26,4.08
732.62,-0.12,13.22,0.35
732.68,7.61,12.47,-0.63
732.73,2.71,6.71,1.69
732.78,1.06,8.98,1.77
732.84,3.8,9.89,0.39
732.89,1.57,8.87,0.71
732.95,2.63,8.9,1.61
733,1.26,8.94,2.08
733.05,0.43,6.98,3.18
733.11,1.1,7.37,3.92
733.16,0.82,7.69,4.63
733.22,0.43,8,5.3
733.27,1.33,9.14,5.41
733.32,1.88,10.28,4.67
733.38,1.45,9.89,6.75
733.43,8.63,10.94,1.69
733.48,5.88,10.83,4.2
733.54,0.55,7.14,0.12
733.59,3.61,10.4,0.24
733.65,1.65,6.86,1.02
733.7,0.43,8.36,1.41
733.76,0.43,8.63,1.8
733.81,-0.04,9.1,2.47
733.86,0.27,9.06,1.92
733.92,1.1,8.75,2.08
733.97,0.16,8.94,2.04
734.02,0.12,9.1,1.26
734.08,1.1,10.04,2.08
734.13,-1.53,10.36,2.08
734.19,1.8,9.77,2.43
734.24,0.12,12.2,0.16
734.29,7.18,11.18,-0.16
734.35,2.67,10.55,2.71
734.4,0.24,10.24,2.55
734.45,1.53,7.26,0.12
734.51,2.16,8.75,1.22
734.56,3.14,8.94,2.43
734.62,1.8,8,3.06
734.67,0.86,6.86,3.77
734.72,0.9,6.83,4.12
734.78,1.65,7.34,4.31
734.83,2,8.08,3.77
734.89,1.77,8.83,4.9
734.94,0.86,9.49,6.43
734.99,3.84,10.87,3.77
735.05,3.37,10.55,3.77
735.1,6.12,14.2,0.71
735.16,0.35,3.53,2.79
735.21,0.82,10.12,1.41
735.26,3.41,7.3,2.2
735.32,2.94,7.77,1.45
735.37,1.84,8.87,1.22
735.42,0.47,8.9,1.92
735.48,0.63,8.55,2.04
735.53,1.65,9.49,1.41
735.59,0.86,8.51,2.0
735.64,0.2,9.06,2.12
735.69,0.75,8.83,1.77
735.75,0.59,9.49,1.53
735.8,0.39,10.16,1.88
735.86,-0.35,10,2.08
735.91,1.69,10.24,2.43
735.96,0.31,11.38,1.73
736.02,5.14,12.83,-0.16
736.07,3.45,8.36,1.02
736.12,1.14,9.38,2.28
736.18,2.08,9.81,1.26
736.23,0.86,7.65,1.41
736.29,1.84,8.59,1.88
736.34,2.35,8.12,2.71
736.4,0.82,6.86,3.33
736.45,0.78,7.34,3.69
736.5,0.71,8.04,4.2
736.56,1.37,8.08,4.67
736.61,1.49,9.65,3.57
736.66,0.78,11.02,5.92
736.72,2.2,10,5.96
736.77,6.71,15.38,-1.45
736.83,5.69,3.73,4.67
736.88,0.63,7.18,0.43
736.93,4.16,10.83,0.24
736.99,3.41,6.32,0.98
737.04,0.98,9.18,0.51
737.1,-0.24,8.36,2.2
737.15,0.35,9.45,2.08
737.21,1.53,9.1,1.29
737.26,0.63,9.1,1.96
737.31,1.22,8.59,1.88
737.37,0.9,8.55,0.98
737.42,0.31,9.57,1.49
737.47,0.2,9.41,2.79
